Transaction,Amount,Time of Day,Location,Fraudulent
Purchase,725,15,Delhi,0
Withdrawal,1570,16,Chennai,0
Transfer,2733,8,Gujarat,0
Purchase,3124,0,Kolkata,0
Transfer,34357,2,Delhi,1
Withdrawal,2075,23,Delhi,0
Purchase,2911,6,Chennai,0
Withdrawal,42821,5,Bangalore,1
Transfer,3122,15,Delhi,0
Purchase,39469,1,Kashmir,1
Withdrawal,2563,7,Kolkata,0
Purchase,451,15,Kashmir,0
Purchase,45650,5,Kashmir,1
Transfer,111,6,Gujarat,0
Purchase,1131,1,Gujarat,0
Withdrawal,1257,14,Delhi,0
Withdrawal,2019,18,Chennai,0
Transfer,2676,3,Chennai,0
Transfer,4173,20,Mumbai,0
Transfer,4548,3,Thrissur,0
Purchase,3820,2,Bangalore,0
Withdrawal,47355,10,Kolkata,1
Transfer,49560,18,Kolkata,1
Purchase,1399,12,Bangalore,0
Transfer,4068,11,Chennai,0
Transfer,4671,20,Chennai,0
Transfer,8629,0,Gujarat,1
Transfer,513,23,Kashmir,0
Withdrawal,1638,2,Thrissur,0
Purchase,3078,13,Kolkata,0
Purchase,3598,20,Gujarat,0
Purchase,2231,19,Gujarat,0
Purchase,4238,7,Thrissur,0
Withdrawal,4124,15,Bangalore,0
Transfer,4068,21,Thrissur,0
Transfer,1105,15,Thrissur,0
Transfer,1545,14,Coimbatore,0
Purchase,1568,16,Delhi,0
Transfer,1332,2,Bangalore,0
Withdrawal,4885,21,Thrissur,0
Transfer,2366,2,Gujarat,0
Withdrawal,3123,23,Chennai,0
Withdrawal,1709,23,Chennai,0
Purchase,4408,11,Thrissur,0
Withdrawal,167,12,Bangalore,0
Withdrawal,4453,7,Delhi,0
Withdrawal,3901,7,Chennai,0
Transfer,4676,3,Gujarat,0
Transfer,2545,18,Thrissur,0
Transfer,98,4,Gujarat,0
Withdrawal,1817,17,Thrissur,0
Withdrawal,1896,1,Coimbatore,0
Transfer,3387,0,Coimbatore,0
Withdrawal,3252,17,Coimbatore,0
Transfer,2054,19,Chennai,0
Transfer,2296,1,Chennai,0
Withdrawal,4180,11,Kashmir,0
Purchase,309,17,Coimbatore,0
Purchase,959,0,Delhi,0
Withdrawal,1355,15,Chennai,0
Transfer,4374,20,Chennai,0
Purchase,1291,15,Mumbai,0
Purchase,2436,0,Kashmir,0
Transfer,330,7,Gujarat,0
Purchase,374,15,Gujarat,0
Purchase,3205,6,Thrissur,0
Withdrawal,1456,21,Chennai,0
Transfer,3971,13,Gujarat,0
Withdrawal,1981,22,Kolkata,0
Withdrawal,1577,21,Coimbatore,0
Withdrawal,4605,9,Bangalore,0
Transfer,18074,1,Chennai,1
Transfer,2773,4,Kolkata,0
Withdrawal,326,16,Gujarat,0
Withdrawal,2690,0,Chennai,0
Withdrawal,1466,18,Bangalore,0
Withdrawal,3703,20,Coimbatore,0
Transfer,4813,13,Gujarat,0
Purchase,1646,19,Mumbai,0
Purchase,564,5,Kashmir,0
Purchase,1586,1,Bangalore,0
Purchase,2629,4,Mumbai,0
Withdrawal,794,7,Thrissur,0
Purchase,24714,4,Bangalore,1
Purchase,3499,6,Chennai,0
Withdrawal,1273,11,Bangalore,0
Purchase,3217,20,Thrissur,0
Transfer,1732,7,Thrissur,0
Purchase,2464,15,Kolkata,0
Withdrawal,1078,22,Kashmir,0
Purchase,1243,9,Coimbatore,0
Transfer,4637,15,Mumbai,0
Transfer,3511,15,Kolkata,0
Withdrawal,4759,9,Kashmir,0
Withdrawal,4117,13,Coimbatore,0
Withdrawal,2746,4,Coimbatore,0
Purchase,4380,10,Delhi,0
Withdrawal,1652,14,Thrissur,0
Withdrawal,4842,9,Coimbatore,0
Withdrawal,38064,3,Mumbai,1
Withdrawal,3611,19,Delhi,0
Withdrawal,1386,21,Gujarat,0
Withdrawal,3530,10,Kashmir,0
Transfer,1131,15,Mumbai,0
Transfer,4939,7,Kolkata,0
Transfer,4129,12,Mumbai,0
Purchase,2462,8,Coimbatore,0
Transfer,4021,1,Delhi,0
Purchase,1626,14,Gujarat,0
Withdrawal,1854,11,Coimbatore,0
Transfer,4394,3,Thrissur,0
Purchase,3020,15,Bangalore,0
Transfer,1343,12,Kashmir,0
Transfer,778,5,Coimbatore,0
Transfer,4017,9,Thrissur,0
Purchase,4240,2,Chennai,0
Transfer,1392,13,Bangalore,0
Transfer,813,17,Mumbai,0
Purchase,3474,18,Kolkata,0
Withdrawal,1571,19,Delhi,0
Withdrawal,4974,0,Thrissur,0
Transfer,1757,8,Thrissur,0
Purchase,3725,0,Gujarat,0
Transfer,1628,14,Thrissur,0
Withdrawal,1539,21,Mumbai,0
Transfer,2518,7,Chennai,0
Transfer,2909,1,Kolkata,0
Transfer,3988,0,Thrissur,0
Purchase,3512,6,Gujarat,0
Withdrawal,2123,1,Bangalore,0
Purchase,2919,19,Delhi,0
Transfer,2829,19,Coimbatore,0
Transfer,9952,4,Chennai,1
Withdrawal,700,17,Gujarat,0
Purchase,1410,1,Delhi,0
Withdrawal,1940,3,Delhi,1
Purchase,3152,20,Thrissur,0
Purchase,2767,9,Mumbai,0
Purchase,3779,13,Chennai,0
Withdrawal,2628,8,Chennai,0
Purchase,587,22,Bangalore,0
Withdrawal,643,3,Coimbatore,0
Withdrawal,1893,11,Kashmir,0
Purchase,6267,19,Delhi,1
Withdrawal,3690,23,Gujarat,0
Purchase,2626,17,Thrissur,0
Withdrawal,1488,4,Coimbatore,0
Withdrawal,1315,14,Kolkata,0
Transfer,3974,5,Gujarat,0
Transfer,39673,2,Mumbai,1
Purchase,3751,7,Kashmir,0
Withdrawal,3644,5,Coimbatore,0
Transfer,38179,3,Kashmir,1
Withdrawal,2033,4,Gujarat,0
Withdrawal,2679,0,Bangalore,0
Withdrawal,4765,8,Kashmir,0
Transfer,3107,0,Mumbai,0
Withdrawal,1131,6,Mumbai,0
Transfer,2105,19,Thrissur,0
Purchase,970,23,Coimbatore,0
Transfer,2585,16,Thrissur,0
Transfer,4642,20,Kashmir,0
Withdrawal,3532,22,Kolkata,0
Purchase,1030,9,Chennai,0
Transfer,1978,22,Gujarat,0
Transfer,3314,3,Coimbatore,0
Transfer,3277,8,Delhi,0
Purchase,3177,0,Bangalore,0
Transfer,1957,16,Gujarat,0
Withdrawal,14296,18,Bangalore,1
Purchase,4839,23,Mumbai,0
Withdrawal,3101,9,Gujarat,0
Purchase,4941,10,Gujarat,0
Transfer,3143,10,Mumbai,0
Transfer,3602,4,Delhi,0
Withdrawal,4449,21,Thrissur,0
Purchase,108,15,Gujarat,0
Withdrawal,3376,0,Kolkata,0
Transfer,4741,17,Kolkata,0
Withdrawal,47170,12,Gujarat,1
Withdrawal,4550,19,Thrissur,0
Transfer,1546,2,Kashmir,0
Withdrawal,1164,18,Gujarat,0
Purchase,4777,20,Thrissur,0
Transfer,1852,4,Kolkata,0
Transfer,943,4,Kolkata,0
Withdrawal,3473,22,Thrissur,0
Purchase,516,8,Gujarat,0
Transfer,4427,13,Thrissur,0
Withdrawal,4373,14,Thrissur,0
Withdrawal,3352,20,Chennai,0
Transfer,1794,16,Gujarat,0
Withdrawal,4211,5,Kashmir,0
Purchase,508,5,Kashmir,0
Purchase,907,11,Mumbai,0
Transfer,2647,4,Gujarat,0
Purchase,1647,21,Thrissur,0
Transfer,3952,13,Coimbatore,0
Withdrawal,1469,16,Kolkata,0
Transfer,3799,9,Thrissur,0
Transfer,952,9,Kolkata,0
Withdrawal,597,19,Kolkata,0
Purchase,3145,18,Gujarat,0
Withdrawal,2494,10,Gujarat,0
Withdrawal,13003,23,Gujarat,1
Purchase,831,5,Gujarat,0
Withdrawal,1893,13,Delhi,0
Transfer,3442,4,Bangalore,0
Purchase,3351,22,Coimbatore,0
Withdrawal,674,16,Mumbai,0
Transfer,4217,3,Mumbai,0
Transfer,40143,1,Gujarat,1
Transfer,2474,11,Gujarat,0
Transfer,3854,5,Bangalore,0
Purchase,2068,6,Delhi,0
Withdrawal,2172,13,Mumbai,0
Purchase,1285,3,Thrissur,0
Purchase,4392,13,Thrissur,0
Purchase,2525,10,Mumbai,0
Withdrawal,49042,14,Delhi,1
Transfer,8673,20,Chennai,1
Purchase,3476,17,Kashmir,0
Withdrawal,697,4,Delhi,0
Transfer,3201,20,Thrissur,0
Withdrawal,1333,5,Kolkata,1
Transfer,3112,16,Kashmir,0
Withdrawal,3645,17,Delhi,0
Withdrawal,1825,0,Mumbai,1
Withdrawal,4366,11,Mumbai,0
Transfer,452,5,Kashmir,0
Withdrawal,115,1,Gujarat,0
Transfer,4836,4,Coimbatore,0
Withdrawal,2100,12,Bangalore,0
Transfer,3572,8,Kolkata,0
Transfer,4020,11,Delhi,0
Purchase,3204,8,Kolkata,0
Purchase,3858,23,Chennai,0
Purchase,4217,5,Thrissur,0
Purchase,3422,23,Kolkata,0
Transfer,4567,19,Kolkata,0
Purchase,1089,22,Chennai,0
Transfer,29311,4,Mumbai,1
Purchase,208,8,Gujarat,0
Withdrawal,1048,21,Kashmir,0
Purchase,2097,21,Gujarat,0
Transfer,2509,8,Chennai,0
Purchase,723,12,Chennai,0
Withdrawal,1544,2,Kolkata,0
Withdrawal,2485,22,Kolkata,0
Withdrawal,3318,14,Delhi,0
Purchase,2098,0,Kolkata,0
Purchase,2481,0,Kashmir,0
Withdrawal,2224,8,Chennai,0
Purchase,2869,2,Mumbai,0
Withdrawal,2729,6,Coimbatore,0
Withdrawal,11631,18,Mumbai,1
Purchase,426,13,Thrissur,0
Transfer,46653,4,Mumbai,1
Withdrawal,1785,13,Gujarat,0
Withdrawal,813,11,Mumbai,0
Transfer,2311,19,Chennai,0
Purchase,1758,7,Thrissur,0
Withdrawal,1510,7,Gujarat,0
Withdrawal,870,16,Coimbatore,0
Withdrawal,2869,3,Delhi,0
Purchase,2608,9,Mumbai,0
Purchase,1482,12,Chennai,0
Withdrawal,2986,19,Thrissur,0
Transfer,1137,1,Bangalore,0
Purchase,3126,16,Chennai,0
Transfer,4282,18,Kashmir,0
Withdrawal,7,4,Chennai,0
Withdrawal,1007,17,Kolkata,0
Withdrawal,2622,13,Bangalore,0
Purchase,625,14,Gujarat,0
Withdrawal,1907,14,Mumbai,0
Withdrawal,3922,3,Gujarat,0
Withdrawal,2352,19,Thrissur,0
Transfer,3308,19,Chennai,0
Purchase,3128,16,Coimbatore,0
Withdrawal,2790,3,Gujarat,0
Transfer,3130,3,Kolkata,0
Withdrawal,3768,15,Mumbai,0
Purchase,4531,12,Mumbai,0
Purchase,2236,10,Delhi,0
Transfer,400,7,Mumbai,0
Transfer,801,20,Delhi,0
Withdrawal,452,7,Kashmir,0
Purchase,43979,7,Chennai,1
Withdrawal,2234,20,Coimbatore,0
Withdrawal,580,15,Kashmir,0
Withdrawal,1390,10,Mumbai,0
Withdrawal,16286,3,Kolkata,1
Purchase,1399,15,Coimbatore,0
Purchase,429,1,Chennai,0
Withdrawal,713,16,Thrissur,0
Purchase,592,20,Thrissur,0
Withdrawal,35459,5,Delhi,1
Withdrawal,1174,2,Bangalore,0
Transfer,893,9,Thrissur,0
Withdrawal,2377,11,Coimbatore,0
Transfer,1622,21,Bangalore,0
Purchase,1493,22,Kashmir,0
Purchase,4152,1,Bangalore,0
Purchase,171,10,Bangalore,0
Purchase,485,0,Gujarat,0
Purchase,337,11,Coimbatore,0
Withdrawal,3763,0,Mumbai,0
Purchase,4589,0,Kashmir,0
Purchase,38744,0,Kolkata,1
Transfer,15516,20,Chennai,1
Transfer,632,8,Delhi,0
Withdrawal,1977,4,Coimbatore,0
Purchase,259,3,Chennai,0
Withdrawal,1284,15,Bangalore,0
Transfer,3675,7,Kolkata,0
Purchase,20017,2,Kolkata,1
Transfer,335,12,Bangalore,0
Withdrawal,2104,11,Thrissur,0
Transfer,3933,19,Gujarat,0
Transfer,2051,6,Mumbai,0
Purchase,1507,15,Gujarat,0
Transfer,2115,3,Chennai,0
Purchase,4812,7,Kolkata,0
Withdrawal,3778,4,Coimbatore,0
Transfer,2255,11,Coimbatore,0
Transfer,34419,0,Kolkata,1
Transfer,3039,1,Thrissur,0
Transfer,2142,17,Delhi,0
Purchase,42038,16,Mumbai,1
Purchase,2283,10,Gujarat,0
Transfer,1659,6,Thrissur,0
Transfer,3103,19,Gujarat,0
Withdrawal,2305,13,Bangalore,0
Transfer,33725,23,Bangalore,1
Withdrawal,2053,4,Mumbai,0
Purchase,1479,16,Kolkata,0
Withdrawal,3848,12,Chennai,0
Purchase,1729,7,Coimbatore,0
Purchase,1782,1,Thrissur,0
Transfer,38825,0,Kashmir,1
Purchase,17813,23,Mumbai,1
Withdrawal,4522,7,Gujarat,0
Withdrawal,4528,13,Mumbai,0
Transfer,766,7,Kolkata,0
Transfer,709,5,Bangalore,0
Transfer,1069,12,Gujarat,0
Purchase,3155,0,Coimbatore,0
Withdrawal,2456,21,Kashmir,0
Withdrawal,2747,17,Mumbai,0
Transfer,3565,9,Kolkata,0
Withdrawal,3672,13,Bangalore,0
Transfer,2760,3,Coimbatore,0
Withdrawal,1317,13,Kashmir,0
Transfer,3064,21,Gujarat,0
Transfer,3159,9,Thrissur,0
Purchase,2115,12,Delhi,0
Transfer,3880,9,Kolkata,0
Purchase,3087,19,Kashmir,0
Withdrawal,3610,2,Gujarat,0
Withdrawal,3999,8,Coimbatore,0
Withdrawal,1771,11,Kashmir,0
Transfer,4475,3,Kashmir,0
Purchase,2236,9,Kolkata,0
Purchase,4287,20,Kashmir,0
Withdrawal,2091,1,Bangalore,0
Transfer,687,23,Kashmir,0
Transfer,4271,21,Mumbai,0
Purchase,1950,9,Delhi,0
Transfer,4185,11,Thrissur,0
Purchase,3382,7,Gujarat,0
Transfer,68,17,Chennai,0
Transfer,4112,23,Kolkata,0
Purchase,2415,23,Kolkata,0
Transfer,1668,13,Chennai,0
Withdrawal,494,1,Delhi,0
Withdrawal,2906,21,Thrissur,0
Purchase,299,21,Kashmir,0
Withdrawal,44037,23,Kashmir,1
Transfer,3689,10,Thrissur,0
Purchase,4995,9,Thrissur,0
Purchase,546,16,Thrissur,0
Purchase,4520,13,Kashmir,0
Withdrawal,3375,20,Kashmir,0
Transfer,4350,18,Gujarat,0
Purchase,23254,6,Kolkata,1
Transfer,2882,13,Thrissur,0
Purchase,254,13,Kashmir,0
Transfer,2960,14,Thrissur,0
Withdrawal,30451,20,Delhi,1
Withdrawal,164,14,Thrissur,0
Purchase,1253,10,Chennai,0
Purchase,2565,2,Coimbatore,0
Withdrawal,3764,13,Delhi,0
Purchase,3685,13,Delhi,0
Transfer,45626,19,Mumbai,1
Purchase,4583,4,Coimbatore,0
Withdrawal,328,10,Kashmir,0
Transfer,32315,5,Bangalore,1
Withdrawal,4422,23,Thrissur,0
Purchase,3644,16,Mumbai,0
Transfer,6856,8,Chennai,1
Transfer,2631,5,Chennai,0
Transfer,2643,22,Mumbai,0
Transfer,367,17,Kolkata,0
Transfer,3087,15,Kashmir,0
Withdrawal,4430,9,Kashmir,0
Withdrawal,3423,1,Thrissur,0
Withdrawal,4111,19,Delhi,0
Purchase,1832,12,Chennai,0
Withdrawal,287,13,Thrissur,0
Transfer,16548,3,Delhi,1
Purchase,1832,20,Chennai,0
Transfer,898,12,Chennai,0
Transfer,32254,5,Bangalore,1
Withdrawal,3195,12,Gujarat,0
Transfer,2580,5,Gujarat,0
Withdrawal,2802,16,Kolkata,0
Withdrawal,3347,10,Kolkata,0
Withdrawal,1061,4,Chennai,0
Withdrawal,1591,0,Bangalore,0
Withdrawal,13588,4,Bangalore,1
Withdrawal,2554,2,Thrissur,0
Purchase,3708,2,Coimbatore,0
Transfer,2659,10,Bangalore,0
Withdrawal,943,23,Mumbai,0
Purchase,3248,10,Mumbai,0
Transfer,2032,19,Gujarat,0
Purchase,860,1,Chennai,0
Transfer,31288,4,Delhi,1
Purchase,2173,1,Kashmir,0
Transfer,1200,1,Coimbatore,0
Transfer,166,19,Bangalore,0
Purchase,4125,17,Thrissur,0
Transfer,3041,15,Kolkata,0
Transfer,4135,19,Thrissur,0
Purchase,1079,2,Gujarat,0
Purchase,434,8,Kolkata,0
Transfer,1132,2,Kolkata,0
Withdrawal,2023,5,Kolkata,0
Transfer,1288,12,Bangalore,0
Withdrawal,3309,14,Kolkata,0
Transfer,457,13,Bangalore,0
Withdrawal,4859,6,Kashmir,0
Transfer,2968,11,Mumbai,0
Purchase,2636,8,Gujarat,0
Transfer,2610,16,Thrissur,0
Purchase,968,23,Kolkata,0
Transfer,1828,6,Mumbai,0
Transfer,2415,8,Thrissur,0
Withdrawal,3360,15,Chennai,0
Withdrawal,3382,6,Kolkata,0
Purchase,1940,3,Coimbatore,0
Purchase,665,16,Gujarat,0
Purchase,725,3,Kashmir,0
Purchase,3815,3,Delhi,0
Purchase,2848,11,Mumbai,0
Transfer,20266,5,Chennai,1
Transfer,3227,19,Coimbatore,0
Transfer,2103,7,Chennai,0
Withdrawal,608,16,Coimbatore,0
Transfer,1759,10,Chennai,0
Transfer,4017,13,Thrissur,0
Withdrawal,4293,7,Chennai,0
Transfer,3671,9,Chennai,0
Withdrawal,3577,5,Thrissur,0
Withdrawal,77,17,Chennai,0
Purchase,555,18,Kolkata,0
Transfer,4334,6,Mumbai,0
Withdrawal,720,21,Chennai,0
Withdrawal,3125,23,Delhi,0
Purchase,3043,3,Thrissur,0
Purchase,12716,3,Delhi,1
Transfer,324,19,Gujarat,0
Transfer,2220,18,Mumbai,0
Purchase,2907,23,Coimbatore,0
Transfer,3359,8,Mumbai,0
Withdrawal,1275,10,Thrissur,0
Transfer,8160,1,Kolkata,1
Withdrawal,1452,22,Delhi,0
Transfer,19325,0,Kolkata,1
Transfer,1733,4,Kolkata,0
Purchase,1050,10,Delhi,0
Withdrawal,2703,4,Delhi,0
Transfer,1207,12,Thrissur,0
Purchase,1761,14,Gujarat,0
Withdrawal,2123,9,Coimbatore,0
Withdrawal,4555,3,Mumbai,0
Transfer,3557,10,Mumbai,0
Withdrawal,2092,5,Kashmir,0
Purchase,2436,17,Mumbai,0
Withdrawal,3745,10,Kashmir,0
Withdrawal,3593,14,Kolkata,0
Withdrawal,4493,1,Bangalore,0
Transfer,4501,5,Mumbai,0
Transfer,4017,19,Gujarat,0
Purchase,2891,2,Mumbai,0
Withdrawal,1267,23,Gujarat,0
Purchase,3760,7,Gujarat,0
Withdrawal,2020,9,Thrissur,0
Transfer,2312,13,Kashmir,0
Withdrawal,1381,20,Kolkata,0
Withdrawal,4071,3,Mumbai,1
Transfer,2675,6,Chennai,0
Purchase,3108,23,Delhi,0
Purchase,3521,17,Kashmir,0
Purchase,704,12,Mumbai,0
Withdrawal,3979,18,Mumbai,0
Transfer,3460,14,Kolkata,0
Transfer,2624,11,Mumbai,0
Purchase,996,16,Kolkata,0
Purchase,4963,11,Bangalore,0
Withdrawal,3687,2,Bangalore,0
Withdrawal,1709,8,Coimbatore,0
Transfer,2742,8,Coimbatore,0
Transfer,3116,12,Kashmir,0
Transfer,110,10,Coimbatore,0
Transfer,4996,12,Kolkata,0
Purchase,4347,12,Gujarat,0
Transfer,4369,13,Gujarat,0
Transfer,1571,21,Delhi,0
Transfer,689,9,Coimbatore,0
Withdrawal,353,14,Bangalore,0
Purchase,1161,4,Thrissur,0
Withdrawal,1349,23,Coimbatore,0
Transfer,4340,23,Delhi,0
Transfer,1502,5,Delhi,0
Transfer,3636,18,Kolkata,0
Withdrawal,3922,19,Mumbai,0
Purchase,3314,19,Thrissur,0
Transfer,57,1,Gujarat,0
Transfer,2380,14,Delhi,0
Withdrawal,4995,17,Chennai,0
Transfer,3715,12,Kashmir,0
Withdrawal,693,14,Kashmir,0
Purchase,70,13,Thrissur,0
Purchase,7208,3,Delhi,1
Transfer,2811,0,Gujarat,0
Transfer,3490,5,Kolkata,0
Withdrawal,36904,23,Bangalore,1
Purchase,526,4,Kashmir,0
Purchase,417,6,Kolkata,0
Withdrawal,2911,23,Delhi,0
Transfer,2174,4,Gujarat,0
Purchase,2670,19,Thrissur,0
Transfer,4167,10,Coimbatore,0
Purchase,2150,10,Bangalore,0
Transfer,3433,16,Bangalore,0
Withdrawal,43,18,Bangalore,0
Withdrawal,4654,23,Kolkata,0
Purchase,3253,11,Kolkata,0
Purchase,2194,4,Bangalore,0
Purchase,2670,20,Coimbatore,0
Withdrawal,18614,23,Kolkata,1
Withdrawal,34939,23,Delhi,1
Withdrawal,4800,20,Chennai,0
Purchase,3494,5,Thrissur,0
Purchase,726,2,Kolkata,0
Transfer,2342,18,Kashmir,0
Purchase,2581,6,Mumbai,0
Transfer,3659,11,Thrissur,0
Purchase,2973,14,Mumbai,0
Withdrawal,2799,17,Kashmir,0
Transfer,4925,13,Kolkata,0
Withdrawal,1228,13,Kashmir,0
Withdrawal,2068,23,Bangalore,0
Purchase,3045,9,Thrissur,0
Withdrawal,3467,9,Mumbai,0
Transfer,4289,2,Kolkata,0
Withdrawal,3079,3,Thrissur,0
Withdrawal,133,12,Kolkata,0
Transfer,4365,15,Delhi,0
Withdrawal,1017,19,Mumbai,0
Withdrawal,201,18,Gujarat,0
Transfer,49023,23,Gujarat,1
Transfer,1660,16,Delhi,0
Withdrawal,867,22,Thrissur,0
Purchase,3038,10,Delhi,0
Withdrawal,2523,15,Gujarat,0
Transfer,44460,2,Kolkata,1
Transfer,1010,8,Kashmir,0
Withdrawal,2387,1,Gujarat,0
Withdrawal,2963,17,Chennai,0
Transfer,4107,16,Thrissur,0
Purchase,358,7,Kolkata,0
Withdrawal,1663,0,Mumbai,0
Purchase,4944,4,Delhi,0
Purchase,246,4,Mumbai,0
Withdrawal,1971,16,Coimbatore,0
Purchase,3167,10,Kolkata,0
Transfer,3197,14,Kolkata,0
Transfer,765,6,Mumbai,0
Purchase,2852,11,Bangalore,0
Purchase,4132,21,Gujarat,0
Purchase,3642,21,Kashmir,0
Transfer,2125,22,Thrissur,0
Withdrawal,2900,18,Coimbatore,0
Purchase,1149,15,Kashmir,0
Purchase,411,22,Gujarat,0
Purchase,18402,0,Kolkata,1
Withdrawal,235,21,Kashmir,0
Purchase,7172,2,Mumbai,1
Transfer,937,23,Kolkata,0
Transfer,954,19,Mumbai,0
Withdrawal,2599,8,Mumbai,0
Transfer,14836,4,Gujarat,1
Withdrawal,34766,13,Bangalore,1
Withdrawal,4888,4,Mumbai,0
Transfer,33263,5,Mumbai,1
Withdrawal,2263,8,Kashmir,0
Withdrawal,4332,1,Kashmir,0
Transfer,4169,18,Chennai,0
Transfer,3329,21,Kashmir,0
Withdrawal,215,14,Thrissur,0
Transfer,2474,10,Mumbai,0
Transfer,555,14,Thrissur,0
Withdrawal,2900,15,Bangalore,0
Purchase,4334,7,Coimbatore,0
Purchase,1193,23,Thrissur,0
Purchase,781,3,Mumbai,0
Purchase,1466,20,Bangalore,0
Purchase,3371,3,Delhi,0
Transfer,4434,18,Chennai,0
Transfer,1190,8,Thrissur,0
Withdrawal,2670,23,Coimbatore,0
Purchase,637,16,Bangalore,0
Purchase,4020,12,Bangalore,0
Transfer,1374,23,Thrissur,0
Purchase,3071,9,Chennai,0
Withdrawal,312,12,Delhi,0
Transfer,2064,19,Mumbai,0
Withdrawal,2679,14,Coimbatore,0
Transfer,2461,21,Chennai,0
Purchase,491,14,Delhi,0
Purchase,1347,14,Chennai,0
Withdrawal,3003,10,Kashmir,0
Transfer,3179,4,Coimbatore,0
Withdrawal,4590,13,Bangalore,0
Purchase,1596,10,Delhi,0
Transfer,13892,0,Chennai,1
Withdrawal,1721,8,Gujarat,0
Transfer,21213,2,Kashmir,1
Transfer,19,13,Kashmir,0
Purchase,2301,6,Delhi,0
Transfer,1228,0,Coimbatore,0
Purchase,2394,10,Kolkata,0
Transfer,1573,4,Mumbai,0
Purchase,2471,1,Mumbai,0
Purchase,120,1,Kolkata,0
Withdrawal,3626,14,Thrissur,0
Transfer,271,22,Thrissur,0
Withdrawal,3558,10,Mumbai,0
Transfer,3382,12,Gujarat,0
Transfer,3028,21,Gujarat,0
